two_theta_deg,intensity_counts
5.0013583099999996,2720
5.0040749199999999,2678
5.0067915299999992,2686
5.0095081399999994,2630
5.0122247499999997,2576
5.0149413599999999,2644
5.0176579699999992,2582
5.0203745799999995,2644
5.0230911899999997,2611
5.0258077999999999,2673
5.0285244099999993,2597
5.0312410199999995,2637
5.0339576299999997,2672
5.03667424,2788
5.0393908499999993,2628
5.0421074599999995,2651
5.0448240699999998,2691
5.04754068,2693
5.0502572899999993,2730
5.0529738999999996,2632
5.0556905099999998,2724
5.05840712,2663
5.0611237299999994,2620
5.0638403399999996,2731
5.0665569499999998,2669
5.0692735600000001,2690
5.0719901699999994,2862
5.0747067799999996,2762
5.0774233899999999,2753
5.0801399999999992,2831
5.0828566099999994,2733
5.0855732199999997,2778
5.0882898299999999,2722
5.0910064399999992,2752
5.0937230499999995,2790
5.0964396599999997,2822
5.0991562699999999,2703
5.1018728799999993,2773
5.1045894899999995,2830
5.1073060999999997,2692
5.11002271,2822
5.1127393199999993,2732
5.1154559299999995,2650
5.1181725399999998,2706
5.12088915,2769
5.1236057599999993,2709
5.1263223699999996,2624
5.1290389799999998,2543
5.13175559,2577
5.1344721999999994,2549
5.1371888099999996,2567
5.1399054199999998,2516
5.1426220300000001,2447
5.1453386399999994,2493
5.1480552499999996,2345
5.1507718599999999,2317
5.1534884699999992,2355
5.1562050799999994,2213
5.1589216899999997,2202
5.1616382999999999,2192
5.1643549099999992,2069
5.1670715199999995,2142
5.1697881299999997,1958
5.1725047399999999,2021
5.1752213499999993,1975
5.1779379599999995,1953
5.1806545699999997,1834
5.18337118,1854
5.1860877899999993,1793
5.1888043999999995,1788
5.1915210099999998,1674
5.19423762,1703
5.1969542299999993,1641
5.1996708399999996,1687
5.2023874499999998,1519
5.20510406,1578
5.2078206699999994,1584
5.2105372799999996,1607
5.2132538899999998,1468
5.2159705000000001,1609
5.2186871099999994,1521
5.2214037199999996,1478
5.2241203299999999,1491
5.2268369399999992,1456
5.2295535499999994,1505
5.2322701599999997,1511
5.2349867699999999,1508
5.2377033799999992,1467
5.2404199899999995,1427
5.2431365999999997,1490
5.2458532099999999,1500
5.2485698199999993,1403
5.2512864299999995,1434
5.2540030399999997,1392
5.25671965,1382
5.2594362599999993,1462
5.2621528699999995,1387
5.2648694799999998,1358
5.26758609,1376
5.2703026999999993,1333
5.2730193099999996,1355
5.2757359199999998,1457
5.27845253,1346
5.2811691399999994,1335
5.2838857499999996,1293
5.2866023599999998,1409
5.2893189700000001,1297
5.2920355799999994,1316
5.2947521899999996,1382
5.2974687999999999,1372
5.3001854099999992,1315
5.3029020199999994,1325
5.3056186299999997,1211
5.3083352399999999,1272
5.3110518499999992,1308
5.3137684599999995,1283
5.3164850699999997,1301
5.3192016799999999,1290
5.3219182899999993,1311
5.3246348999999995,1303
5.3273515099999997,1288
5.33006812,1213
5.3327847299999993,1226
5.3355013399999995,1227
5.3382179499999998,1230
5.34093456,1272
5.3436511699999993,1176
5.3463677799999996,1297
5.3490843899999998,1204
5.351801,1213
5.3545176099999994,1254
5.3572342199999996,1234
5.3599508299999998,1258
5.3626674399999992,1239
5.3653840499999994,1261
5.3681006599999996,1259
5.3708172699999999,1244
5.3735338800000001,1195
5.3762504899999994,1142
5.3789670999999997,1167
5.3816837099999999,1197
5.3844003199999992,1221
5.3871169299999995,1163
5.3898335399999997,1244
5.3925501499999999,1254
5.3952667599999993,1136
5.3979833699999995,1182
5.4006999799999997,1151
5.40341659,1190
5.4061331999999993,1205
5.4088498099999995,1148
5.4115664199999998,1188
5.41428303,1175
5.4169996399999993,1160
5.4197162499999996,1141
5.4224328599999998,1178
5.42514947,1201
5.4278660799999994,1140
5.4305826899999996,1201
5.4332992999999998,1086
5.4360159100000001,1140
5.4387325199999994,1152
5.4414491299999996,1078
5.4441657399999999,1130
5.4468823499999992,1207
5.4495989599999994,1163
5.4523155699999997,1175
5.4550321799999999,1105
5.4577487899999992,1142
5.4604653999999995,1122
5.4631820099999997,1114
5.4658986199999999,1045
5.4686152299999993,1095
5.4713318399999995,1076
5.4740484499999997,1074
5.47676506,1131
5.4794816699999993,1097
5.4821982799999995,1038
5.4849148899999998,1158
5.4876315,1038
5.4903481099999993,1100
5.4930647199999996,1091
5.4957813299999998,1039
5.49849794,1093
5.5012145499999994,1081
5.5039311599999996,1119
5.5066477699999998,1104
5.5093643799999992,1095
5.5120809899999994,1059
5.5147975999999996,1080
5.5175142099999999,1027
5.5202308200000001,1008
5.5229474299999994,1065
5.5256640399999997,1102
5.5283806499999999,1013
5.5310972599999992,1092
5.5338138699999995,1095
5.5365304799999997,1040
5.5392470899999999,1023
5.5419636999999993,1059
5.5446803099999995,992
5.5473969199999997,1008
5.55011353,985
5.5528301399999993,958
5.5555467499999995,1076
5.5582633599999998,1011
5.56097997,1009
5.5636965799999993,1020
5.5664131899999996,918
5.5691297999999998,1057
5.5718464099999991,1005
5.5745630199999994,986
5.5772796299999996,1054
5.5799962399999998,947
5.5827128500000001,1013
5.5854294599999994,940
5.5881460699999996,946
5.5908626799999999,984
5.5935792899999992,956
5.5962958999999994,933
5.5990125099999997,997
5.6017291199999999,973
5.6044457300000001,937
5.6071623399999995,978
5.6098789499999997,974
5.6125955599999999,893
5.6153121699999993,976
5.6180287799999995,970
5.6207453899999997,963
5.623462,962
5.6261786099999993,965
5.6288952199999995,957
5.6316118299999998,958
5.63432844,924
5.6370450499999993,1017
5.6397616599999996,914
5.6424782699999998,977
5.64519488,961
5.6479114899999994,871
5.6506280999999996,946
5.6533447099999998,907
5.6560613199999992,960
5.6587779299999994,987
5.6614945399999996,876
5.6642111499999999,935
5.6669277600000001,924
5.6696443699999994,913
5.6723609799999997,882
5.6750775899999999,870
5.6777941999999992,905
5.6805108099999995,952
5.6832274199999997,899
5.6859440299999999,859
5.6886606399999993,910
5.6913772499999995,869
5.6940938599999997,881
5.69681047,872
5.6995270799999993,931
5.7022436899999995,908
5.7049602999999998,867
5.70767691,833
5.7103935199999993,840
5.7131101299999996,857
5.7158267399999998,810
5.7185433499999991,877
5.7212599599999994,905
5.7239765699999996,849
5.7266931799999998,847
5.7294097900000001,863
5.7321263999999994,869
5.7348430099999996,896
5.7375596199999999,857
5.7402762299999992,887
5.7429928399999994,863
